id,name,activity_type,distance,elevation_gain,elevation_low,elevation_high,best_time,average_top_10_time,tenth_best_time,total_effort_count,total_athlete_count
21126751,Piste après aéroport,Ride,1154.4,3.6,6.8,13.0,106,124.7,132.0,4480,947
15195369,Full gas - Full south!,Ride,6323.4,23.0,12.1,48.1,333,367.2,387.0,150060,9420
21977568,Monté Pointe au Sel,Ride,520.1,13.4,-28.4,-15.0,23,33.0,37.0,166071,9859
7376213,5K Climb Etang Sale,Ride,5245.2,480.2,60.6,540.8,1170,1290.6,1361.0,1257,585
14704920,Ravine --> Petite-Ile - Manapany,Ride,2360.4,41.0,606.0,647.0,234,245.8,255.0,16018,1845
5860767,Montée Plaine des Gregues,Ride,3667.6,210.2,449.4,659.0,570,623.4,649.0,3575,1001
2192136,Route Forestière N°8 Du Maïdo Climb,Ride,17167.2,1497.6,700.8,2197.0,3833,4140.2,4334.0,2592,1426
1734831,Sentier Du Piton Des Neiges Climb,Ride,6011.74,1657.4,1489.3,3029.5,2551,4080.3,6379.0,87,81
21539703,ilet à cordes - cilaos,Ride,10556.8,493.8,1103.6,1311.2,1505,1730.7,1839.0,708,466
12090666,Col de Bébour - Est,Ride,1926.4,168.2,1185.8,1354.0,420,464.4,484.0,938,490
7337448,Petit coup de rein,Ride,390.8,18.0,21.8,39.4,24,27.0,30.0,27994,2733
4365267,St Benoit Montée 1,Ride,639.8,25.1,9.5,33.5,46,49.6,52.0,27559,3426
7001496,montée morange,Ride,4825.0,256.2,19.1,270.6,638,644.6,663.0,4287,673
12090521,Rd-Pt Plaines - Pl Palmistes,Ride,16985.7,951.8,29.4,981.2,2896,3045.3,3202.0,1760,671
15618288,Monter départ pont payet ,Ride,6088.0,393.8,519.8,913.6,974,1024.6,1062.0,4688,1591
4211466,D53 Climb,Ride,4998.7,368.6,240.6,600.4,989,1030.8,1057.0,3020,763
9617370,chrono ravine à malheur 2015,Ride,10202.4,613.0,32.2,645.2,1539,1620.1,1658.0,13285,2429
19137610,RDL - Grande Chaloupe-Possession,Ride,4082.0,4.4,-4.4,-1.0,209,227.3,242.0,31764,3428
15710766,Dos dane hard,Ride,9717.5,833.3,180.3,947.0,1775,1851.0,1917.0,2314,1020
22661078,Descente Route de Cambaie,Ride,1887.9,5.4,68.6,87.6,123,128.4,131.0,76219,5792
6675446,Route du Littoral Climb,Ride,379.5,99.7,14.3,101.6,18,19.9,21.0,36668,4416
18533340,10 tours vélodrome Cambaie,Ride,16251.5,54.9,6.8,13.0,1397,1452.8,1540.0,2132,231
12445352,adams climb,Ride,362.2,44.1,245.8,289.9,59,69.11,nan,392,127
11414645,Rav. des Chèvres N2002 Est-Ouest,Ride,468.5,38.2,29.6,67.8,37,42.9,46.0,30029,3276
22950845,4 KM les plus dur - Départ Bassin Bœuf ,Ride,4094.3,377.7,351.9,729.6,850,1010.4,1061.0,2184,614
5299607,Fin Piton Fougères,Ride,5114.1,615.4,521.4,1124.8,1556,1652.0,1766.0,848,363
25311365,Sur la piste cyclable,Ride,1826.0,11.0,46.6,62.2,98,104.4,109.0,43303,4597
6470986,UH Le Brulé / Mamode Camp,Ride,4676.2,698.9,873.3,1221.0,870,985.9,1045.0,2615,728
5244998,Sainte-Suzanne centre ville,Ride,546.7,29.0,11.2,40.4,42,49.0,52.0,37461,4186
24846934,sprint pont rivière du mat vers rond point vidot,Ride,489.1,7.8,136.2,144.0,32,35.7,38.0,28984,3343
15981338,Retour du championnat par équipe,Ride,8657.2,23.2,9.0,82.7,619,635.6,640.0,17546,1476
18242080,Ligne droite Bois Rouge full gaz!,Ride,603.8,0.0,-212.0,-208.4,33,35.0,37.0,13608,1464
21863777,chemin sarabe eglise,Ride,661.8,16.2,192.4,202.1,52,57.3,59.0,10471,1258
22578687,Piste cyclable de l'Etang Salé,Run,1972.8,0.0,8.9,16.1,94,336.1,388.0,28512,4778
14095875,pont du golf - fin piste cyclable,Run,2772.2,14.0,-8.0,-2.0,504,534.0,555.0,20865,3915
10795091,Chemin des accacias downhill,Run,2220.0,22.2,673.2,904.6,393,415.5,430.0,564,431
15270766,Montée raid !!!,Run,335.6,33.6,-118.4,-84.8,81,92.0,102.0,4108,682
23235965,Montée Bellecombe haut,Run,1641.6,143.3,513.5,654.7,506,540.4,563.0,691,432
13184166,Passerelle en haut / Passerelle en bas - Mica,Run,1383.5,0.0,241.7,399.0,330,350.2,363.0,39336,5541
24428359,Dernier Lacet Dassy,Run,293.2,35.2,475.4,510.6,8,50.6,60.0,59492,5582
13148571,sommet roselie zebre,Run,4188.9,843.6,500.1,833.8,1941,2017.8,2094.0,10616,4266
16585357,Montée Tapage - Piton Cabris,Run,2680.9,380.0,816.0,1196.0,1146,1234.9,1282.0,2960,1323
11144469,vers nez de boeuf,Run,183.2,22.8,2045.4,2068.2,7,35.9,51.0,6997,3568
5880897,Sentier de la Rivière des Remparts Roche Plate Climb,Run,1320.3,304.8,1074.3,1369.1,838,871.9,890.0,4449,2073
5193344,Sentier Grd Galet - Grd Pays -> Plaine des Sables,Run,3754.2,0.0,1220.1,2224.0,3464,3608.9,3697.0,2801,1935
4591531,Chemin Bruniquel Climb,Run,1026.3,214.8,82.9,296.6,502,584.3,621.0,5677,1253
4162980,descente Piton des Neiges/Gite,Run,2776.1,34.7,2493.0,3034.0,943,1068.5,1137.0,11751,7933
17856181,sentier jacky isnard climb,Run,7593.5,1051.8,1509.5,2192.2,3942,4250.5,4583.0,1445,1021
19482776,Descente Eden : Belvédère - début béton,Run,6981.2,193.0,141.0,682.9,1626,1845.0,1997.0,865,299
26969116,Ch Morange ( montée depuis patisserie ),Run,4866.9,240.9,19.6,260.5,1235,1390.0,1557.0,97,32
24729564,faux plat la Marine,Run,266.3,5.9,15.1,21.0,2,14.8,31.0,13357,1311
11144452,montée piton misére,Run,1533.6,160.4,1781.8,1941.4,683,756.1,788.0,1904,1361
6666087,Tour Palmiste,Run,1642.7,30.5,1046.6,1073.2,256,276.4,290.0,3224,475
9974915,Chemin des Anglais (Possession -> Fin sentier St Bernard),Run,7906.2,716.5,19.0,359.0,2941,3076.3,3284.0,21266,10709
16677351,Haut grd chaloupe-> barrière possession,Run,4507.7,146.0,20.2,231.6,1287,1357.8,1433.0,8308,3139
24552186,Dos d'ane-stade Halt-la,Run,5419.0,33.0,251.0,902.0,1199,1261.9,1329.0,6286,2807
13181922,montée la jamaique,Run,969.8,19.2,11.0,30.2,42,178.5,209.0,25453,3634
4218616,DH Gite des Chicaux/Mamode Camp,Run,5223.1,64.5,1218.9,1843.1,1553,1645.7,1771.0,4859,2728
23792978,Parking - Escaliers 1 RDM les Bas,Run,1951.6,66.4,136.8,182.6,541,606.56,nan,2454,557
19793548,Boucle de l'Eden : complète,Run,17591.0,827.6,63.8,762.8,5290,5938.9,6345.0,409,167
24545756,Galet - fin de montée boucle RDM,Run,2335.9,136.7,141.7,267.0,789,880.4,916.0,2591,403
26190794,Chemin colonial: Champborne--> embouchure RDM,Run,2523.6,6.0,10.4,26.4,562,613.5,643.0,943,290
